Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
28079 Madrid;2807910 Madrid distrito 10;;Renta neta media por persona;2015;12.057
28079 Madrid;2807911 Madrid distrito 11;;Renta neta media por persona;2022;12.764
28079 Madrid;2807911 Madrid distrito 11;;Renta neta media por persona;2021;12.275
28079 Madrid;2807911 Madrid distrito 11;;Renta neta media por persona;2020;11.713
28079 Madrid;2807911 Madrid distrito 11;;Renta neta media por persona;2019;11.679
28079 Madrid;2807911 Madrid distrito 11;;Renta neta media por persona;2018;11.327
28079 Madrid;2807911 Madrid distrito 11;;Renta neta media por persona;2017;10.988
28079 Madrid;2807911 Madrid distrito 11;;Renta neta media por persona;2016;10.872
28079 Madrid;2807911 Madrid distrito 11;;Renta neta media por persona;2015;10.758
28079 Madrid;2807912 Madrid distrito 12;;Renta neta media por persona;2022;11.430
28079 Madrid;2807912 Madrid distrito 12;;Renta neta media por persona;2021;10.797
28079 Madrid;2807912 Madrid distrito 12;;Renta neta media por persona;2020;10.239
28079 Madrid;2807912 Madrid distrito 12;;Renta neta media por persona;2019;10.211
28079 Madrid;2807912 Madrid distrito 12;;Renta neta media por persona;2018;9.860
28079 Madrid;2807912 Madrid distrito 12;;Renta neta media por persona;2017;9.552
28079 Madrid;2807912 Madrid distrito 12;;Renta neta media por persona;2016;9.395
28079 Madrid;2807912 Madrid distrito 12;;Renta neta media por persona;2015;9.276
28079 Madrid;2807913 Madrid distrito 13;;Renta neta media por persona;2022;11.452
28079 Madrid;2807913 Madrid distrito 13;;Renta neta media por persona;2021;10.941
28079 Madrid;2807913 Madrid distrito 13;;Renta neta media por persona;2020;10.445
28079 Madrid;2807913 Madrid distrito 13;;Renta neta media por persona;2019;10.402
28079 Madrid;2807913 Madrid distrito 13;;Renta neta media por persona;2018;10.045
28079 Madrid;2807913 Madrid distrito 13;;Renta neta media por persona;2017;9.706
28079 Madrid;2807913 Madrid distrito 13;;Renta neta media por persona;2016;9.545
28079 Madrid;2807913 Madrid distrito 13;;Renta neta media por persona;2015;9.386
28079 Madrid;2807914 Madrid distrito 14;;Renta neta media por persona;2022;16.437
28079 Madrid;2807914 Madrid distrito 14;;Renta neta media por persona;2021;15.667
28079 Madrid;2807914 Madrid distrito 14;;Renta neta media por persona;2020;15.294
28079 Madrid;2807914 Madrid distrito 14;;Renta neta media por persona;2019;15.101
28079 Madrid;2807914 Madrid distrito 14;;Renta neta media por persona;2018;14.637
28079 Madrid;2807914 Madrid distrito 14;;Renta neta media por persona;2017;14.135
28079 Madrid;2807914 Madrid distrito 14;;Renta neta media por persona;2016;13.944
28079 Madrid;2807914 Madrid distrito 14;;Renta neta media por persona;2015;13.715
28079 Madrid;2807915 Madrid distrito 15;;Renta neta media por persona;2022;17.808
28079 Madrid;2807915 Madrid distrito 15;;Renta neta media por persona;2021;16.890
28079 Madrid;2807915 Madrid distrito 15;;Renta neta media por persona;2020;16.436
28079 Madrid;2807915 Madrid distrito 15;;Renta neta media por persona;2019;16.349
28079 Madrid;2807915 Madrid distrito 15;;Renta neta media por persona;2018;15.815
28079 Madrid;2807915 Madrid distrito 15;;Renta neta media por persona;2017;15.111
28079 Madrid;2807915 Madrid distrito 15;;Renta neta media por persona;2016;15.048
28079 Madrid;2807915 Madrid distrito 15;;Renta neta media por persona;2015;14.767
28079 Madrid;2807916 Madrid distrito 16;;Renta neta media por persona;2022;21.766
28079 Madrid;2807916 Madrid distrito 16;;Renta neta media por persona;2021;20.500
28079 Madrid;2807916 Madrid distrito 16;;Renta neta media por persona;2020;19.890
28079 Madrid;2807916 Madrid distrito 16;;Renta neta media por persona;2019;20.044
28079 Madrid;2807916 Madrid distrito 16;;Renta neta media por persona;2018;19.759
28079 Madrid;2807916 Madrid distrito 16;;Renta neta media por persona;2017;18.620
28079 Madrid;2807916 Madrid distrito 16;;Renta neta media por persona;2016;18.277
28079 Madrid;2807916 Madrid distrito 16;;Renta neta media por persona;2015;17.662
28079 Madrid;2807917 Madrid distrito 17;;Renta neta media por persona;2022;11.563
28079 Madrid;2807917 Madrid distrito 17;;Renta neta media por persona;2021;11.059
28079 Madrid;2807917 Madrid distrito 17;;Renta neta media por persona;2020;10.591
28079 Madrid;2807917 Madrid distrito 17;;Renta neta media por persona;2019;10.540
28079 Madrid;2807917 Madrid distrito 17;;Renta neta media por persona;2018;10.164
28079 Madrid;2807917 Madrid distrito 17;;Renta neta media por persona;2017;9.875
28079 Madrid;2807917 Madrid distrito 17;;Renta neta media por persona;2016;9.756
28079 Madrid;2807917 Madrid distrito 17;;Renta neta media por persona;2015;9.642
28079 Madrid;2807918 Madrid distrito 18;;Renta neta media por persona;2022;14.274
28079 Madrid;2807918 Madrid distrito 18;;Renta neta media por persona;2021;13.605
28079 Madrid;2807918 Madrid distrito 18;;Renta neta media por persona;2020;13.099
28079 Madrid;2807918 Madrid distrito 18;;Renta neta media por persona;2019;12.976
28079 Madrid;2807918 Madrid distrito 18;;Renta neta media por persona;2018;12.545
